Itr,train-PolicyExecTime,LossBefore,Time-Sampling,train-EnvExecTime,n_timesteps,train-NumTrajs,train-MaxReturn,train-MinReturn,train-AverageDiscountedReturn,Time-Optimization,train-AverageReturn,Time-SampleProc,Time,ItrTime,LossAfter,train-StdReturn
263,21.58463740348816,-7.476807e-08,25.472513675689697,3.4727094173431396,2640000,100,242.21072748072805,128.0523534477654,402.3876524303643,1.6580841541290283,212.3102027685492,0.04708504676818848,10843.12295293808,27.17817711830139,-0.014195399,18.46026604688812
264,21.802476406097412,-3.0517577e-09,25.6347918510437,3.430553436279297,2650000,100,239.4085358437665,166.67868453975947,397.9599686582416,1.7492899894714355,210.46604728036434,0.04649496078491211,10870.575438976288,27.431009769439697,-0.019045148,15.698672051998356
265,23.812386512756348,3.5858154e-08,27.816076040267944,3.572988271713257,2660000,100,259.6858373601932,-51.765658178950204,394.57526468126673,1.7859740257263184,208.10798697276059,0.047682762145996094,10900.25677895546,29.65850591659546,-0.012016067,33.44093854648661
266,25.148034811019897,3.051758e-08,29.370990991592407,3.760594367980957,2670000,100,252.19022322788356,180.2258997817897,403.91170486858175,1.8543739318847656,214.14726650802731,0.054997920989990234,10931.56165599823,31.282024145126343,-0.008158997,15.204724286565433
267,21.630619525909424,-2.4414062e-08,25.509833812713623,3.4559781551361084,2680000,100,247.15861495975633,48.545548769669544,399.6213311285267,1.717905044555664,210.6873700978062,0.044975996017456055,10958.85681796074,27.27313995361328,-0.020498835,23.852060234665405
268,21.949375867843628,6.1035155e-09,25.82892107963562,3.465775728225708,2690000,100,261.24509469801245,148.70608550625835,398.06737918705517,1.7131578922271729,208.95584315608875,0.05045008659362793,10986.470988988876,27.592923164367676,-0.006489917,19.345781035599202
269,21.88963556289673,2.4414062e-08,25.80864977836609,3.498060941696167,2700000,100,248.05654308455158,161.4217751771977,397.3509080785739,1.8074560165405273,209.65789220273223,0.04934501647949219,11014.160980939865,27.667665243148804,-0.023944505,16.24102265013681
270,21.30924940109253,-7.6293944e-08,25.189218759536743,3.458125591278076,2710000,100,252.38118767726138,117.74204798160012,398.1960002038984,1.5899951457977295,211.42038232746188,0.06190204620361328,11041.0247900486,26.84156107902527,-0.010698105,19.549980312937144
271,21.485985279083252,4.8828124e-08,25.34787106513977,3.449437141418457,2720000,100,243.95011143531906,116.38718113101972,386.27223661929366,1.746047019958496,203.27983031659795,0.04663586616516113,11068.19907617569,27.15230965614319,-0.018673846,24.92361112794952
272,21.265268802642822,1.2207031e-08,25.08635687828064,3.4194560050964355,2730000,100,257.90167039758353,139.19328757192218,394.942050078218,1.698359727859497,208.3847742531399,0.04970407485961914,11095.057574033737,26.835981130599976,-0.009755402,17.51680047951076
273,22.0056049823761,-3.051758e-08,25.931129932403564,3.505537986755371,2740000,100,253.25386018453233,147.25078335990463,394.417208011332,1.7381629943847656,207.5959904378804,0.05039787292480469,11122.800786972046,27.72115993499756,-0.011162598,20.857976493372977
