n_timesteps,train-AverageReturn,train-NumTrajs,Time-Sampling,Time,train-StdReturn,train-AverageDiscountedReturn,train-MinReturn,Time-SampleProc,LossAfter,train-EnvExecTime,LossBefore,Time-Optimization,Itr,ItrTime,train-PolicyExecTime,train-MaxReturn
510000,-0.006532011871301009,100,13.487585306167603,826.478609085083,33.674275365539174,4.977103598182875,-104.44464564968429,0.12895774841308594,0.024187978,2.74922251701355,0.05378638,0.4978220462799072,50,14.114566802978516,10.473498106002808,67.88865287176712
520000,8.660537366005276,100,14.285604238510132,841.365800857544,31.910934082473734,20.988250931444785,-112.10733911325124,0.13346004486083984,0.028016986,2.915679693222046,0.05888617,0.4424891471862793,51,14.861808061599731,11.04018521308899,77.04676170563467
530000,6.183991715480284,100,15.073183059692383,857.167332649231,30.33976108918971,17.113375955198507,-69.56655939940917,0.12880253791809082,0.040100336,2.7721190452575684,0.068457596,0.5642478466033936,52,15.766860246658325,12.033105373382568,80.96411121479339
540000,8.768538255292018,100,14.257083654403687,872.0767893791199,32.54997882126939,17.304512601482294,-81.59844682522407,0.1208808422088623,0.04325758,2.821101427078247,0.07288808,0.4971346855163574,53,14.876884937286377,11.174779176712036,98.61323061009395
550000,4.458593316747208,100,13.260181903839111,886.1096529960632,32.909199961750375,11.972555127681654,-84.07579789292626,0.12056326866149902,0.026683033,2.641455888748169,0.06110697,0.6287798881530762,54,14.009763717651367,10.367190599441528,117.96642776675029
560000,-0.16720540074980225,100,14.333253145217896,901.1333117485046,34.15509934549895,4.584801584988758,-102.77702384602134,0.1168050765991211,0.036575187,2.782313346862793,0.0655584,0.5471603870391846,55,14.997461795806885,11.292454481124878,77.49958474717154
570000,10.111669244880611,100,15.324233531951904,917.1660964488983,31.683957594474094,21.34924117514016,-81.66916548367634,0.11279034614562988,0.035252154,2.7668709754943848,0.06645677,0.5734133720397949,56,16.010677337646484,12.249907493591309,103.78166397021678
580000,1.6409852228127964,100,14.777882814407349,932.5500590801239,30.39398652399904,6.480802848432809,-78.66356893515437,0.11191034317016602,0.027178872,2.720414400100708,0.05735669,0.47416162490844727,57,15.364187479019165,11.78485655784607,73.6694763354312
590000,3.880947466847702,100,14.529965877532959,947.7602248191833,27.047147106776745,10.399339941456754,-61.24119543697506,0.11801958084106445,0.042362183,2.710245370864868,0.07493429,0.5350942611694336,58,15.183476686477661,11.54440188407898,63.04437319684974
600000,-2.5611596516162773,100,16.80091094970703,965.2800369262695,32.45053291904344,2.8921520239189973,-111.5691515873388,0.11907696723937988,0.0273173,3.216553211212158,0.054284796,0.5758047103881836,59,17.496618509292603,13.303099632263184,84.0940681746104
610000,0.8661643927598272,100,15.802533149719238,981.8407118320465,35.01235020639227,7.264596302499236,-123.0565434229435,0.13272547721862793,0.017440125,2.8516223430633545,0.0456081,0.6032404899597168,60,16.53872275352478,12.597854614257812,63.875914925159464
