train-MinReturn,n_timesteps,train-AverageReturn,LossAfter,Time-Optimization,Time-Sampling,train-EnvExecTime,train-MaxReturn,LossBefore,train-PolicyExecTime,train-AverageDiscountedReturn,train-NumTrajs,Time,train-StdReturn,ItrTime,Itr,Time-SampleProc
-143.40876736907381,750000,-140.20292563902086,-0.935482,2.844043016433716,190.65459489822388,4.58700704574585,-137.30563244778492,-0.01727761,185.66368103027344,-309.4031203249865,100,13992.589959859848,1.4441657664851706,193.65652108192444,74,0.15661072731018066
-143.6362694261263,760000,-140.55511912251802,-0.94029677,3.1703689098358154,187.13171792030334,4.568357229232788,-136.09580208206012,-0.0045888876,182.16182351112366,-310.079655550012,100,14183.021066904068,1.555203322335821,190.41023707389832,75,0.1067807674407959
-143.20188555671066,770000,-140.29445353617325,-0.8444826,2.8380661010742188,187.8034999370575,4.581329107284546,-137.33920641062295,0.018487938,182.682443857193,-309.55486743254767,100,14373.706303834915,1.482104378485717,190.66140818595886,76,0.018473148345947266
-143.0528635438392,780000,-140.26966051751248,-0.65353596,4.118114709854126,186.2137520313263,4.614161252975464,-136.35806839890688,-0.013421195,181.18680429458618,-309.50428097080425,100,14564.084099054337,1.5530787434758333,190.3543999195099,77,0.021027088165283203
-143.24218038245536,790000,-140.06099917379578,-0.5760545,3.5096499919891357,175.59539675712585,4.575026750564575,-136.73919936117804,-0.016370071,170.61794781684875,-309.0089153441653,100,14743.289283037186,1.571535471011614,179.1267168521881,78,0.020280122756958008
-143.07778338071046,800000,-140.40693128222708,-0.9179423,4.579519033432007,178.22661185264587,4.613974571228027,-135.4776735637975,-0.013188611,173.21081852912903,-309.78085116906414,100,14926.150845766068,1.4804022295861157,182.838360786438,79,0.03089594841003418
-143.91283861137273,810000,-140.28499629734347,-0.90588945,3.1286139488220215,181.27416896820068,4.669586181640625,-135.3770176381288,-0.00053842773,176.19870924949646,-309.52025103465667,100,15110.607752799988,1.6266435422471937,184.43175721168518,80,0.023838043212890625
-143.15190752256098,820000,-140.32167899839945,-0.9332084,3.592168092727661,184.23589515686035,4.550077199935913,-136.34089660594992,0.010228916,179.2772397994995,-309.6298450805201,100,15298.49349284172,1.418174974112784,187.8626890182495,81,0.021325111389160156
-143.42524724207973,830000,-140.35934775782064,-0.90719455,4.804862022399902,188.1609070301056,4.572207927703857,-137.8512411914665,-0.00928684,183.17412519454956,-309.67758735097834,100,15491.502830982208,1.393232021314685,192.9862060546875,82,0.01855301856994629
-143.95524366256168,840000,-140.43302706687396,-0.88361037,2.710707902908325,187.12599182128906,4.550779581069946,-135.61913066152746,-0.0018904876,182.16861724853516,-309.8212752979609,100,15681.391657829285,1.5807600537966804,189.85572004318237,83,0.018657684326171875
-143.37173132455334,850000,-140.2715407857475,-0.91943204,4.656023979187012,179.99631309509277,4.738536834716797,-137.78938241557918,0.001146534,174.85342383384705,-309.45944718324415,100,15866.098503828049,1.349279906554689,184.6849308013916,84,0.03109598159790039
