n_timesteps,train-MaxReturn,Itr,train-StdReturn,Time,ItrTime,train-EnvExecTime,train-AverageDiscountedReturn,Time-Optimization,Time-Sampling,train-NumTrajs,LossAfter,Time-SampleProc,train-AverageReturn,LossBefore,train-PolicyExecTime,train-MinReturn
1040000,-60.26775403809091,103,1.1874031865339578,5189.829571962357,27.664167881011963,4.347532272338867,-106.6157737327423,1.72605299949646,25.916752815246582,100,-0.011958969,0.020887136459350586,-62.59120178690775,-0.007195978,21.10995054244995,-66.3924288317677
1050000,-59.56263806964536,104,1.125290411610976,5216.733818054199,26.88279104232788,4.335799217224121,-106.20086905605342,1.6857829093933105,25.177375078201294,100,-0.0015665039,0.019247055053710938,-62.1973958892046,0.016569732,20.391364812850952,-64.7834124902016
1060000,-59.56112216869046,105,1.3044444322146027,5244.649498939514,27.894983053207397,4.300702333450317,-106.52231084165467,1.5597240924835205,26.313846111297607,100,-0.033443134,0.021044015884399414,-62.500259915557535,-0.013497458,21.56898808479309,-66.08820852846912
1070000,-59.789531008699285,106,1.230139236600667,5272.935362100601,28.264925956726074,4.2820892333984375,-106.5441606126898,1.7582640647888184,26.487280130386353,100,0.003501809,0.019025802612304688,-62.517972092186994,0.015972657,21.763758897781372,-65.78342188744764
1080000,-58.94718382278906,107,1.3210268279808186,5299.767010211945,26.805112838745117,4.264175653457642,-106.32496842769028,1.7216248512268066,25.046627044677734,100,-0.0560737,0.03653097152709961,-62.312552580311674,-0.048577845,20.339582920074463,-65.76130075473903
1090000,-59.709306310397,108,1.2319131013451452,5327.511795043945,27.723160982131958,4.297757148742676,-106.49757062143198,1.7789068222045898,25.924472093582153,100,-0.02036335,0.019441843032836914,-62.475176320570235,-0.0021205551,21.184892416000366,-65.63632465010974
1100000,-59.58866419795487,109,1.2783863523425814,5355.354995012283,27.821789741516113,4.3384644985198975,-106.40229931355653,1.4027137756347656,26.390558004379272,100,-0.005282985,0.027319908142089844,-62.38767394887681,0.015595776,21.592545986175537,-65.56980270671822
1110000,-59.55644072538122,110,1.1739266966899948,5383.134142160416,27.757796049118042,4.282556533813477,-106.25649470936987,1.7992770671844482,25.93781089782715,100,-0.04760005,0.019355297088623047,-62.25223051871955,-0.03906919,21.20010805130005,-65.3174075515827
1120000,-60.43466296452002,111,1.260137817343936,5411.6268100738525,28.47069811820984,4.374234437942505,-106.74550468260705,1.5508661270141602,26.899295806884766,100,-0.020748895,0.01920795440673828,-62.708912806005145,-0.0057579447,22.068326234817505,-65.83983157614485
1130000,-59.952925424440345,112,1.331559125048125,5439.411229133606,27.762773990631104,4.417004823684692,-106.41918548489114,1.7576611042022705,25.985002994537354,100,-0.054432794,0.019673824310302734,-62.40460068598441,-0.018750437,21.116747856140137,-66.39306210845778
1140000,-59.98098527024526,113,1.2169985904316853,5466.167845964432,26.73806595802307,4.285629510879517,-106.58902463094935,1.5844128131866455,25.132736921310425,100,0.016994668,0.019559860229492188,-62.56415394462126,0.013782879,20.39025568962097,-65.9392549245829
1150000,-60.03019549109651,114,1.168079591499693,5495.192589998245,28.994589805603027,4.306802272796631,-106.47293399645807,1.5796229839324951,27.295647144317627,100,-0.0051330095,0.01934194564819336,-62.458032139192525,0.009007802,22.498169422149658,-65.73476704004068
1160000,-60.189285173701954,115,1.330405985547878,5523.302111148834,28.087936878204346,4.416531085968018,-106.77955359576826,1.794809103012085,26.27022695541382,100,-0.0029610093,0.021562814712524414,-62.74018305810282,-0.0032169677,21.35875368118286,-66.4387535709332
1170000,-60.48922277086584,116,1.168753717358055,5550.30811715126,26.984893083572388,4.341100692749023,-106.71878523423683,1.7656731605529785,25.19918990135193,100,-0.006703186,0.019635915756225586,-62.685726572612154,0.009928068,20.41094207763672,-65.80002965967934
