Itr,n_timesteps,Time-SampleProc,Time-Sampling,train-MaxReturn,train-EnvExecTime,train-AverageDiscountedReturn,train-MinReturn,train-NumTrajs,train-StdReturn,Time-Optimization,LossAfter,Time,train-AverageReturn,train-PolicyExecTime,ItrTime,LossBefore
245,2460000,0.07041597366333008,8.076450824737549,88.88623638583805,3.0378854274749756,194.95745393536293,-2.4903025722395995,100,15.295355186672575,0.275653600692749,-0.008455908,2107.113909482956,68.7404650175668,4.793164491653442,8.422756433486938,1.8310548e-08
246,2470000,0.04108142852783203,8.103504180908203,96.30061328296627,3.045504093170166,186.64000036624344,-45.59613067943943,100,27.45585253552206,0.27811717987060547,-0.01537211,2115.5537445545197,65.05860023605443,4.812783479690552,8.42296814918518,-2.4414062e-08
247,2480000,0.0377349853515625,8.102367877960205,102.07967945127976,3.059195041656494,196.10503696478466,-77.01509720938475,100,28.88069254937482,0.2697939872741699,-0.016192922,2123.981598854065,69.42009935045772,4.78670072555542,8.410111427307129,2.4414062e-08
248,2490000,0.060292959213256836,7.908183813095093,103.07389642882384,3.0230445861816406,149.75194331337696,-72.89316603304788,100,58.872046226637046,0.3096437454223633,-0.012267337,2132.27773976326,49.13486208347831,4.639929294586182,8.278486013412476,1.8310548e-08
249,2500000,0.050431013107299805,7.8993000984191895,105.98383828407266,2.996760129928589,198.82419649726234,-60.95814860325035,100,30.31916459735867,0.3494224548339844,-0.008672564,2140.594387292862,70.41464473709382,4.659789323806763,8.299374341964722,2.4414062e-08
250,2510000,0.0998075008392334,7.987000465393066,101.71586126943127,3.040808916091919,206.14566948577124,-22.348044582451646,100,14.677592671655495,0.2548708915710449,-0.002229001,2148.9599165916443,73.64364278437239,4.701682090759277,8.34188985824585,-3.0517577e-09
251,2520000,0.06792306900024414,8.061948776245117,97.45032957693165,3.0470991134643555,206.45430359190397,-73.4734713546953,100,22.825272380886613,0.2586996555328369,-0.00423772,2157.3660662174225,73.51853221445573,4.769345045089722,8.388812065124512,3.3569336e-08
252,2530000,0.03803396224975586,8.049217224121094,101.15488036778163,3.066987991333008,210.16987223238291,-72.75438449123409,100,18.81560320403515,0.4065251350402832,-0.017146524,2165.879814386368,75.26509324846651,4.734350919723511,8.493998765945435,1.2207031e-08
253,2540000,0.0746908187866211,8.048339605331421,95.86205857938612,3.0353803634643555,207.05525905813752,-64.27965084698425,100,18.08531028454656,0.26592111587524414,-0.009581391,2174.289249897003,73.75800556666422,4.7628748416900635,8.389208555221558,1.8310548e-08
254,2550000,0.08066725730895996,8.033713817596436,91.3750498710932,3.0592432022094727,205.23404430659647,27.966937840988795,100,15.649446727744422,0.2628791332244873,-0.0101906005,2182.68590760231,72.85780309947694,4.7289135456085205,8.377544164657593,-1.2207031e-08
255,2560000,0.03574681282043457,8.07379150390625,91.41694393037582,3.0478553771972656,199.66354953261208,1.9444154457878824,100,21.928400149402254,0.27742838859558105,-0.0062832027,2191.0966691970825,70.19181555958747,4.7752416133880615,8.387202978134155,-1.2207031e-08
256,2570000,0.04055309295654297,8.105164766311646,90.42614814124542,3.0756638050079346,185.1116173716325,-23.474422122045954,100,29.675451159500266,0.33859682083129883,-0.01739423,2199.598297595978,63.80445458540697,4.784821510314941,8.484554052352905,-3.3569336e-08
257,2580000,0.06797122955322266,8.119028329849243,89.04980279262408,3.0919857025146484,198.3285043342564,1.8121343647560022,100,22.053192200362023,0.2561943531036377,-0.0084783565,2208.0636851787567,69.6120845130096,4.771040678024292,8.443427324295044,0.000385791
258,2590000,0.06748270988464355,8.072197914123535,100.34207743739464,3.068676471710205,208.73875494348286,35.112017277153285,100,11.657126400464717,0.25064849853515625,-0.025753256,2216.472249507904,74.59131717859657,4.760861158370972,8.390572547912598,-2.1362304e-08
259,2600000,0.037162065505981445,8.048458576202393,110.81128970492067,3.0448386669158936,148.50365561216705,-74.29915722656673,100,60.97572660647704,0.26615452766418457,-0.014261523,2224.8428072929382,48.88811503696399,4.750002384185791,8.352006435394287,9.155274e-09
260,2610000,0.054924964904785156,8.082502365112305,117.39222914418885,3.079500198364258,96.73890478114636,-73.45620560855191,100,74.99027407955992,0.2816903591156006,-0.016178703,2233.2822268009186,25.489744678668217,4.755539655685425,8.419495820999146,-1.7547608e-08
261,2620000,0.07569146156311035,8.100797653198242,120.2903252553505,3.0578317642211914,61.646012693975926,-68.63637019319248,100,76.76825418161039,0.24700617790222168,-0.00082017825,2241.723128557205,8.840483737718259,4.793917894363403,8.4237220287323,-9.155274e-09
