Itr,ItrTime,train-MinReturn,train-EnvExecTime,train-StdReturn,LossBefore,Time-SampleProc,Time-Sampling,train-AverageDiscountedReturn,train-AverageReturn,train-PolicyExecTime,train-MaxReturn,n_timesteps,LossAfter,train-NumTrajs,Time,Time-Optimization
207,134.8771231174469,3.0762079093371084,3.8230161666870117,3.393732894600135,-0.020890333,0.021490812301635742,132.59378719329834,16.81899685854278,14.568804903417902,128.3412275314331,22.96440688113051,2080000,-0.021254007,100,33348.92365813255,2.260417938232422
208,103.54250693321228,8.123942645844362,3.9190962314605713,3.4429885091558647,0.008097583,0.02385687828063965,101.32563400268555,16.155319974325252,14.022118428874048,96.97980046272278,22.119799682547345,2090000,0.007813129,100,33452.48684310913,2.1925649642944336
209,105.5229082107544,-2.022267802006598,3.879607677459717,3.410781262269177,0.010703821,0.020518064498901367,103.15992188453674,16.567156021898683,14.352108304903044,98.85234355926514,21.39079794078413,2100000,0.010736353,100,33558.03010201454,2.3421082496643066
210,107.89109706878662,6.882082605657278,4.0011701583862305,3.201645199337937,0.0006579041,0.017844200134277344,104.89400815963745,16.69058732395012,14.38492785814076,100.4629123210907,21.63650319442991,2110000,0.00047503662,100,33665.94110798836,2.9777438640594482
211,104.73519706726074,-1.9194856362284183,4.004936456680298,3.0300027428639056,0.009123515,0.02000880241394043,102.61773204803467,16.849605523651427,14.516907600212603,98.18421506881714,20.197345289339975,2120000,0.008876869,100,33770.69716215134,2.0967869758605957
212,101.00396966934204,7.714389022163231,3.7925801277160645,2.9039796158412075,-0.00546958,0.019673824310302734,97.2293541431427,16.600652117532796,14.32759273556492,93.01481223106384,21.025328174195657,2130000,-0.005640753,100,33871.72202897072,3.754427909851074
213,101.76549363136292,0.6668550828016138,3.825003147125244,3.20870077653159,0.0047190245,0.022886991500854492,99.50818681716919,17.00954938859516,14.618564067400449,95.2522406578064,21.728810198535744,2140000,0.0045991545,100,33973.50636911392,2.23404598236084
214,100.77422070503235,-5.7500542445528335,3.8232312202453613,3.7543563154748067,0.0059576905,0.019641876220703125,98.15029907226562,16.663180268001078,14.378829828093682,93.90325379371643,24.414250435577546,2150000,0.0058576292,100,34074.29919195175,2.6028432846069336
215,97.85361099243164,5.546282110358302,3.809635639190674,3.4210670314877833,-0.0014731903,0.02048206329345703,95.81327390670776,16.33524834745132,14.094775887066135,91.58118534088135,21.101010383936952,2160000,-0.0017166168,100,34172.170969963074,2.018547296524048
216,95.15922379493713,2.0211121376306287,3.8148815631866455,3.0600947660409714,0.015439502,0.01952505111694336,92.65834331512451,16.982954494430743,14.512165399091511,88.39719796180725,20.543440293955207,2170000,0.015111896,100,34267.3509991169,2.480023145675659
217,97.47437906265259,6.794231660712329,3.969298839569092,2.8969583447029787,0.0099350065,0.02347874641418457,95.09015703201294,16.76646214752845,14.4842249064766,90.6988754272461,22.03527610424194,2180000,0.009863333,100,34364.84267091751,2.3590970039367676
218,98.62676405906677,-7.396940336983066,3.8831162452697754,3.8658831778047777,-0.007378305,0.020107030868530273,96.45637512207031,15.65745564408406,13.667166902485917,92.14880108833313,21.156604309874226,2190000,-0.0076274145,100,34463.48994803429,2.148361921310425
219,92.84996581077576,7.256006508964668,3.8013598918914795,2.9137806369666026,0.0123581635,0.022498130798339844,90.01700091362,16.532032745101574,14.234489263973247,85.79562187194824,22.04480227894012,2200000,0.011398782,100,34556.362808942795,2.8098230361938477
220,92.71777367591858,-0.761022158515847,3.787728786468506,3.667492560579311,-0.016126636,0.018362998962402344,90.49380779266357,16.19048308610386,14.127936682861996,86.27476000785828,21.57038420834504,2210000,-0.016011264,100,34649.09952187538,2.2052688598632812
221,90.58378291130066,6.8120883855013235,3.8125226497650146,3.0405586190052794,0.0069573,0.020672082901000977,88.50032114982605,16.320813509271296,14.105310355280567,84.26770615577698,21.434086848281357,2220000,0.006716159,100,34739.7033560276,2.062404155731201
222,87.97142791748047,6.877359960617151,3.8111603260040283,3.195538711600853,0.008326721,0.02240896224975586,85.99389266967773,16.52615877938904,14.22405282982875,81.7633969783783,20.912508781052907,2230000,0.008157587,100,34827.6967818737,1.9547600746154785
223,89.82764315605164,6.311494585933654,3.822129249572754,3.2935194216833152,-0.0019446022,0.024992942810058594,87.79017090797424,17.050830945799888,14.55667881654212,83.54770851135254,21.335071920396363,2240000,-0.0021935822,100,34917.54427289963,2.011165142059326
224,87.02056622505188,6.863837331243028,3.7929461002349854,3.1531094930391874,-0.019509375,0.019699811935424805,84.8068220615387,16.249180766209054,14.076087916786003,80.59121537208557,21.78191566456194,2250000,-0.019953178,100,35004.58588600159,2.1889469623565674
225,85.70415306091309,4.62709207881795,3.8572447299957275,3.011143093518225,-0.0123962825,0.020309925079345703,83.60029578208923,17.13325913426276,14.64831222713377,79.32442879676819,21.58248605305285,2260000,-0.012573605,100,35090.31087899208,2.0821399688720703
226,84.85906410217285,8.090683362664652,3.825266122817993,3.233844300105742,-0.006841606,0.020180225372314453,82.8054187297821,17.29037092747347,14.824822111841325,78.55695128440857,21.440468128511633,2270000,-0.0068224533,100,35175.19006609917,2.0321919918060303
227,83.60636973381042,2.353372534239026,3.8407227993011475,3.438176768718525,-0.000105596926,0.02157115936279297,81.51787114143372,16.189851229026207,14.08269737822985,77.25930213928223,21.820288127004577,2280000,-9.888e-05,100,35258.81704711914,2.0665171146392822
228,84.61086392402649,6.290477441785703,3.848968982696533,3.289950295662427,0.008797744,0.015663862228393555,82.46743392944336,17.111596313949846,14.597966676968527,78.1997606754303,21.60220163559464,2290000,0.008392862,100,35343.44947385788,2.119019031524658
229,94.88985586166382,7.440385075198665,3.9175360202789307,3.287656416643755,-0.009302005,0.020556926727294922,92.79242897033691,16.076488119603454,13.924323007933596,88.44834637641907,21.275815045717366,2300000,-0.00928015,100,35438.35668802261,2.0754971504211426
230,87.77675294876099,8.749055062085624,3.8311753273010254,3.0886472720686946,0.00966684,0.01880788803100586,85.63965797424316,16.793632952618157,14.401508869726085,81.388920545578,23.457818460375,2310000,0.009621692,100,35526.154722213745,2.1178479194641113
231,91.65291285514832,5.240563271920787,3.8660695552825928,3.0723126063303083,0.0025731614,0.01960587501525879,89.35749006271362,16.644480869062633,14.329251020050606,85.07088470458984,20.865643961691887,2320000,0.0021136308,100,35617.82905006409,2.274420976638794
232,88.56893420219421,6.687602012891323,3.832925796508789,3.047520911662353,-0.004933129,0.020403146743774414,85.90661597251892,15.97066146951142,13.871894159479343,81.65034651756287,21.13176332543537,2330000,-0.005140453,100,35706.41969895363,2.6415109634399414
233,88.93829393386841,7.392469207733415,3.8000199794769287,2.9628388497091507,-0.01893066,0.020966291427612305,86.85125088691711,17.15223248432876,14.768515094971772,82.63409614562988,20.43879728311992,2340000,-0.019037887,100,35795.3787150383,2.0657169818878174
234,91.97866487503052,-5.649938122718896,3.8430042266845703,3.8237288538379355,-0.004355469,0.020520925521850586,89.92011594772339,16.66766171612046,14.39567371388856,85.64156484603882,22.239346107897664,2350000,-0.0043825987,100,35887.378736019135,2.0376319885253906
235,93.35533308982849,7.319145264511254,3.8205535411834717,3.1724594345444355,-0.0057535814,0.019514799118041992,91.24966621398926,16.150690049886997,13.99747099165201,87.01030445098877,21.6704823944078,2360000,-0.005792411,100,35980.754458904266,2.085800886154175
236,95.70799517631531,-3.961379326418245,3.8537492752075195,3.7155909230405313,0.0056329314,0.019356966018676758,93.44313597679138,16.763624867824696,14.37758477356279,89.17039155960083,21.128428849590808,2370000,0.0052441955,100,36076.48226690292,2.2439849376678467
237,97.57324600219727,8.448415823661131,3.8375189304351807,2.846312709457838,0.0033133638,0.02151775360107422,95.32704615592957,16.401272990975045,14.254546177899897,91.04298710823059,20.76257026451436,2380000,0.0033035278,100,36174.07610416412,2.224133014678955
238,99.70908808708191,1.0802896272959055,3.8177237510681152,3.9396731625538854,-0.011350201,0.05141782760620117,97.18961882591248,16.57459849357446,14.253419710773846,92.95339941978455,21.413017433752255,2390000,-0.011757339,100,36273.80688214302,2.46677827835083
239,96.7311360836029,-3.6465871493723427,3.8017210960388184,3.6167835373742325,0.028531201,0.020135879516601562,94.5348629951477,16.75153959842095,14.43696257571376,90.31449747085571,21.67613595438882,2400000,0.028514978,100,36370.558811903,2.1747512817382812
240,97.5445568561554,-0.3165415045413239,3.8039968013763428,3.4057788031313496,0.017549014,0.023598909378051758,94.72326183319092,16.4986488296004,14.29583494300833,90.5030357837677,21.816423203580833,2410000,0.017415361,100,36468.124759197235,2.797201156616211
241,104.99120211601257,-3.5503929016647473,3.8358583450317383,3.246643279923818,-0.0019804176,0.019577741622924805,102.1893310546875,16.144834749639962,14.116280755026953,97.92867636680603,20.238623363958684,2420000,-0.0019991302,100,36573.13629388809,2.7808778285980225
242,104.46067500114441,1.9444627495793616,3.843291759490967,3.084561078915643,-0.0035568038,0.017980098724365234,102.06679391860962,16.710766849725527,14.39166287951112,97.8068323135376,21.03865602715836,2430000,-0.0042110733,100,36677.6174800396,2.374488115310669
243,100.30485796928406,3.8599213000982733,3.8567581176757812,3.291666885083028,-0.0069383867,0.01956009864807129,98.07184100151062,16.506066315825134,14.25610578994207,93.7937068939209,21.631275610390247,2440000,-0.0069726426,100,36777.94295310974,2.213027000427246
244,100.80947709083557,7.932723287505149,3.8524694442749023,3.0543454317653036,-0.002862552,0.01907181739807129,98.02850389480591,17.02931252040144,14.553826055543155,93.76118111610413,21.452251185489363,2450000,-0.0029129365,100,36878.77321314812,2.7602031230926514
245,103.15020108222961,-10.767321437543862,3.7650563716888428,4.447877178814244,0.011396539,0.0188751220703125,100.72032904624939,15.545517182828679,13.73695720436041,96.53873991966248,21.672101506074217,2460000,0.011414846,100,36981.94428920746,2.409464120864868
246,117.70438289642334,-3.1063147021835125,3.8242862224578857,3.5851997804371782,0.0002524521,0.01199793815612793,114.91174221038818,15.983026405372172,13.965195122484689,110.65509581565857,22.590365079633994,2470000,0.00013375854,100,37099.66641712189,2.7793169021606445
247,124.42763805389404,8.445228431367857,3.8899035453796387,2.9926340251776584,0.0012856545,0.020714998245239258,121.89765310287476,17.602130097480416,14.88749491769411,117.58858466148376,22.633699153007267,2480000,0.00096895255,100,37224.11333203316,2.507863759994507
248,107.13055467605591,-2.7340975134691194,3.8095669746398926,3.3733554749681756,-0.0017850387,0.025449752807617188,104.5250518321991,16.792407284927666,14.389608269841121,100.29293775558472,21.223642791391917,2490000,-0.0020367156,100,37331.26672291756,2.5796852111816406
