LossAfter,train-NumTrajs,n_timesteps,train-MinReturn,train-PolicyExecTime,train-AverageDiscountedReturn,Time,Time-Optimization,Time-Sampling,train-AverageReturn,ItrTime,Itr,LossBefore,train-EnvExecTime,train-MaxReturn,Time-SampleProc,train-StdReturn
-0.10039346,100,820000,-31.530124819396768,21.486839294433594,70.46135169059247,4584.881152153015,1.7823772430419922,25.71187996864319,30.69702807961913,27.532744884490967,81,-0.026496276,3.771883726119995,60.553541191696674,0.022578954696655273,17.91458472585402
-0.09141188,100,830000,-38.01568416696467,21.533807516098022,72.44030966290678,4612.494537115097,1.8472340106964111,25.725746154785156,34.01941310978512,27.592078924179077,82,-0.017942272,3.7587389945983887,54.53527231142795,0.0187530517578125,19.14315766264663
-0.040849146,100,840000,-27.242785969392152,20.55942678451538,68.88433634071413,4639.031118154526,1.7594408988952637,24.733583211898804,30.828400357394813,26.51411199569702,83,0.014553125,3.7374427318573,59.758706995489106,0.020509958267211914,18.314672784515363
-0.0772173,100,850000,-20.77413021004327,21.324118852615356,76.52602193977813,4666.383137226105,1.7907662391662598,25.51901626586914,35.28633476208674,27.33096194267273,84,-0.03522639,3.7643463611602783,59.175845211910875,0.01985788345336914,16.738268757451507
0.008769092,100,860000,-13.261826113163998,22.0020272731781,74.22265174488801,4695.50777721405,2.868983030319214,26.210460901260376,34.1687694489419,29.103254079818726,85,0.034586206,3.772993803024292,56.8370398454485,0.021374940872192383,17.03627592685298
-0.010886334,100,870000,-35.504731738870085,20.830920219421387,72.01353371550499,4722.005172967911,1.435708999633789,25.020143270492554,32.25312725593205,26.477046012878418,86,0.029659994,3.757361650466919,59.44870849299197,0.020598173141479492,19.141308234256485
-0.00032323,100,880000,-17.456153922016345,22.715349197387695,73.18757360112991,4750.625616312027,1.612534999847412,26.96557307243347,33.3260081521758,28.59952211380005,87,0.033680126,3.8169612884521484,55.813743750405294,0.019829988479614258,17.040628588470838
-0.013482983,100,890000,-34.623128573313416,21.531580209732056,70.28434573317202,4778.162592172623,1.7854580879211426,25.710657119750977,31.33667936326863,27.51525092124939,88,0.01786349,3.7468926906585693,65.15306878081175,0.018718957901000977,18.14740702746458
0.0021477905,100,900000,-25.886290330722723,20.73690390586853,73.6984074627954,4804.905225992203,1.7387871742248535,24.962434768676758,33.37586677248423,26.721475839614868,89,0.012864923,3.773557662963867,55.13505283093741,0.019879817962646484,17.345954343203633
-0.023503052,100,910000,-41.215806131819285,21.299341440200806,73.50943126074863,4832.033734321594,1.5870039463043213,25.50038981437683,34.48164371117858,27.10745906829834,90,-0.002110315,3.7666850090026855,58.88025218834242,0.01966691017150879,17.339776774988533
-0.017033033,100,920000,-22.317341518642973,21.571442127227783,76.79639174906077,4859.683732032776,1.7663519382476807,25.843077182769775,36.72559494828138,27.62915301322937,91,-0.011842639,3.839801788330078,61.31338615961683,0.01936507225036621,16.926979534436448
-0.033130005,100,930000,-28.811257284212516,20.356114387512207,73.39024486446638,4886.260887145996,1.9301929473876953,24.60509204864502,34.12948166775471,26.55613613128662,92,-0.010828662,3.8178694248199463,56.09406304536321,0.020496845245361328,16.58750867451893
-0.005280664,100,940000,-34.40165382480015,20.65291690826416,70.51265232685459,4913.779403209686,2.595972776412964,24.878067016601562,32.792533532266866,27.49752712249756,93,9.885254e-05,3.7839295864105225,56.30279194501446,0.023066997528076172,20.678458143908532
0.0071326415,100,950000,-46.97794849407971,20.45862889289856,65.77172415928204,4940.81804227829,2.3644320964813232,24.63631582260132,29.576636576725893,27.020621061325073,94,0.021497583,3.7442264556884766,53.548783330174416,0.01949787139892578,19.79216487813682
-0.015256714,100,960000,-29.35406218577506,19.97361946105957,68.05085973084086,4966.794963359833,1.743391990661621,24.179978847503662,32.08715772624863,25.948819875717163,95,-0.0026783813,3.767025947570801,55.40248810247378,0.025111913681030273,21.770415352526545
0.031472925,100,970000,-12.167077718439145,21.482904195785522,73.04001618419272,4994.324691295624,1.8071799278259277,25.685577154159546,33.38733451465625,27.511540174484253,96,0.037656188,3.7717154026031494,57.5576785883919,0.018223047256469727,16.52459379836521
-0.023364661,100,980000,-20.66359128662391,21.577291250228882,74.53959702466855,5021.91551733017,1.7436039447784424,25.799216747283936,35.46364098759377,27.563904762268066,97,-0.009349842,3.7825939655303955,56.66329918146997,0.01973700523376465,16.92243504626592
0.0006382141,100,990000,-43.274497817614396,21.803846836090088,74.9931504056631,5049.743238210678,1.6692657470703125,26.11635994911194,35.451673020930706,27.806007862091064,98,0.0058583375,3.8756680488586426,62.5181450864025,0.018921375274658203,18.869871245908282
-0.018383801,100,1000000,-23.78375875411937,21.410242319107056,79.14564364311924,5077.133734226227,1.7468328475952148,25.602750301361084,38.905223146846595,27.369216918945312,99,-0.014434057,3.7598438262939453,58.74612052042577,0.019247055053710938,17.600600825695064
-0.0030239257,100,1010000,-28.0184200086765,21.58829092979431,71.94824102536928,5104.552617073059,1.5939571857452393,25.785008907318115,33.55338367163429,27.39827585220337,100,0.00013115234,3.764512777328491,54.115764344237576,0.018945932388305664,18.760747689472534
0.00058735354,100,1020000,-24.636513486185564,20.646589279174805,75.2155216875011,5131.218580007553,1.7166190147399902,24.90789008140564,36.308264812372514,26.6446750164032,101,0.012298206,3.8161752223968506,59.203024766619755,0.019788742065429688,19.08506302745813
-0.035362523,100,1030000,-26.288526848226628,21.314770936965942,76.05657247469182,5158.705069065094,1.7214899063110352,25.722496032714844,35.93278843460532,27.465585947036743,102,-0.026672082,3.976562023162842,58.91276809355349,0.021102190017700195,18.1731030708761
-0.016296044,100,1040000,-29.11671458984717,21.36592435836792,76.2457737984169,5186.044501066208,1.5571479797363281,25.74040699005127,35.932636982535186,27.318283081054688,103,-0.0043761963,3.764622688293457,57.021453762952305,0.020339250564575195,16.577844688248287
-0.034101166,100,1050000,-18.041505964440404,20.600790977478027,78.59713733364337,5212.733154058456,1.7855439186096191,24.862648010253906,37.48727433065752,26.666992902755737,104,-0.0031955445,3.830470561981201,57.289658687089364,0.018455028533935547,15.564815951741553
-0.0922232,100,1060000,-19.91104745617239,21.6992244720459,80.91593460678887,5240.371801137924,1.6290218830108643,25.968485832214355,39.68050551988326,27.61764907836914,105,-0.035529222,3.837026596069336,59.45132183826323,0.019743919372558594,14.25699195343501
-0.08114043,100,1070000,-26.084049852050676,21.512706518173218,78.39138969612966,5267.948588132858,1.7404520511627197,25.713392734527588,38.059968612726664,27.555455923080444,106,0.0036881103,3.7602500915527344,55.64623515921511,0.10124802589416504,17.65884013843583
-0.06481912,100,1080000,-18.964334928508787,20.99020743370056,81.25599391562619,5294.594485998154,1.4060451984405518,25.19821786880493,39.92443031450359,26.624393939971924,107,0.0015485717,3.769606113433838,60.059056371678906,0.019784212112426758,14.106639661838473
-0.05943791,100,1090000,-26.972243967029833,21.532602787017822,76.66345029473567,5321.992886066437,1.6528551578521729,25.704163789749146,37.36947642854014,27.376487731933594,108,0.0052899797,3.744083881378174,57.011471975754674,0.01904606819152832,17.590092758456223
-0.040606074,100,1100000,-22.07973907550108,21.95503878593445,83.44445779497988,5349.948576211929,1.7348730564117432,26.180189847946167,41.23202984568775,27.934532165527344,109,0.0129390685,3.7915244102478027,56.883002677303985,0.019083023071289062,12.81061210174211
-0.013218506,100,1110000,-39.071990998408545,21.136472940444946,80.45974268530324,5377.14284324646,1.7596721649169922,25.39265012741089,39.71005126726996,27.173262119293213,110,0.028219312,3.825932741165161,56.14800088016833,0.019583940505981445,17.29753101560273
-0.0375145,100,1120000,-24.254664544738734,22.33321261405945,77.18633764448056,5405.434808254242,1.5710468292236328,26.67741298675537,37.1618331099849,28.27080011367798,111,-0.0092405025,3.908055543899536,54.40701983742081,0.02072000503540039,15.21249645133862
-0.074636124,100,1130000,-3.6592934298471844,21.34501004219055,84.4700969188017,5432.619074106216,1.537248134613037,25.595623016357422,41.792885680829805,27.162513971328735,112,-0.026609095,3.822751522064209,57.24430879820612,0.029194116592407227,10.950056409570983
-0.12630199,100,1140000,-11.489494397960886,20.686224699020386,81.54838585139775,5459.270090103149,1.6575901508331299,24.95053005218506,39.46998467689688,26.629097938537598,113,-0.048850298,3.824944019317627,53.76944144456474,0.019539833068847656,12.710104918083927
-0.106619045,100,1150000,-22.60354501910925,21.76476502418518,81.90143324096151,5486.837535142899,1.571439266204834,25.95350980758667,40.211333412637565,27.54594898223877,114,-0.048889026,3.758535861968994,60.41139156591675,0.019617080688476562,12.59928699402521
-0.037908424,100,1160000,-32.70601575885075,21.843249559402466,77.55284929059624,5514.628268241882,1.6394588947296143,26.108601093292236,37.54138549865579,27.769125938415527,115,0.0053137694,3.833895206451416,56.676188640298264,0.019646406173706055,17.156439917449177
-0.08019094,100,1170000,-30.087216162317315,20.76988673210144,81.54751512000509,5541.442653179169,1.5850739479064941,25.187515020370483,40.394608350027404,26.79265284538269,116,-0.03129928,3.981353759765625,58.43755931878287,0.019176959991455078,15.825751482606854
-0.0048662233,100,1180000,-30.27001066550278,21.366254806518555,79.02363541314503,5568.872978210449,1.7690250873565674,25.60599184036255,38.466889460391464,27.400910139083862,117,0.05085394,3.8017337322235107,57.10207256208549,0.02422308921813965,15.359053841253717
-0.08368962,100,1190000,-21.576218379724423,21.5377197265625,85.08135319155235,5596.432551145554,1.759932279586792,25.75504994392395,42.64935816497754,27.538021087646484,118,0.0021563629,3.7779695987701416,59.9197827643215,0.01866888999938965,13.409490995179588
-0.10510539,100,1200000,-9.378086673238725,20.57816505432129,79.03944836837911,5622.9118802547455,1.6272451877593994,24.811352968215942,37.86685816579739,26.457764863967896,119,-0.007768811,3.802050828933716,58.943818098845,0.01875925064086914,13.540357354732777
-0.049512964,100,1210000,-29.125836849605864,22.617631673812866,80.08713382729395,5651.518552064896,1.7429461479187012,26.818849086761475,39.12727371762309,28.58222508430481,120,0.018998066,3.766434669494629,56.25499188548928,0.01986408233642578,16.707447093111178
-0.10125113,100,1220000,-29.624582748471354,21.336324214935303,81.24932388270929,5678.8489112854,1.745635986328125,25.54254674911499,39.89978697351325,27.308587074279785,121,-0.050696198,3.775089740753174,58.93073754142999,0.019779205322265625,15.778669487275037
-0.10621123,100,1230000,-23.696133972235426,20.702311038970947,79.49697490189989,5705.578685998917,1.7239611148834229,24.964773893356323,38.28371801129287,26.708967924118042,122,-0.014049633,3.8321475982666016,55.68003868393632,0.019790172576904297,15.265849737052251
-0.09688231,100,1240000,-25.83515574788987,21.378111839294434,80.62297082721972,5733.659246206284,2.439689874649048,25.6001079082489,39.13893649372071,28.059312105178833,123,-0.014259619,3.775693416595459,56.42068937168346,0.019044876098632812,14.422334019426108
-0.1273052,100,1250000,-23.953728961761215,23.982297897338867,80.49898506001382,5763.7919590473175,1.7521388530731201,28.341259002685547,39.41343538775015,30.114012956619263,124,0.0007675903,3.9070842266082764,54.6469238978389,0.019299745559692383,14.797493461274895
-0.04685001,100,1260000,-49.012065542141,20.59359073638916,82.05233426845784,5790.4465391635895,1.7876629829406738,24.82433795928955,39.634211147674385,26.63329577445984,125,0.005354492,3.799659252166748,59.297218551743036,0.020893096923828125,15.626015536558054
-0.05601426,100,1270000,-16.86083249055578,21.31710720062256,80.83114323305597,5817.793583154678,1.7584998607635498,25.546053886413574,39.17384556818717,27.325464010238647,126,0.010887,3.785001516342163,59.60924591302453,0.019392013549804688,15.083770683835676
