n_timesteps,Time,train-AverageDiscountedReturn,train-MaxReturn,LossBefore,Time-Sampling,train-StdReturn,ItrTime,Time-SampleProc,LossAfter,Itr,train-MinReturn,train-AverageReturn,train-NumTrajs,train-PolicyExecTime,Time-Optimization,train-EnvExecTime
890000,19817.689892053604,302.86197726345813,178.27191121324896,0.0130183045,209.82600784301758,1.9102076610668586,213.95641803741455,0.055921077728271484,0.012212631,88,169.37298481308235,172.95505761927438,100,204.05255961418152,4.073457956314087,5.305400133132935
900000,20091.065248012543,303.3881008337556,177.98702146545438,-0.008254552,269.23826599121094,1.9352137605611415,273.34621500968933,0.040273189544677734,-0.008830481,89,168.26601648525568,173.15619807798655,100,262.9578638076782,4.065906286239624,5.728047132492065
910000,20325.313290834427,303.5456234823832,176.94971996619512,0.018135173,230.14425492286682,1.6577424627285415,234.2204978466034,0.0334010124206543,0.014534788,90,169.06876205813927,173.25203707884958,100,224.22065806388855,4.040993928909302,5.410836219787598
920000,20481.783594846725,302.3765352923722,177.65176388956863,-0.023004422,151.0713369846344,2.014019745361027,156.43439888954163,0.07439589500427246,-0.02398457,91,165.21837118520148,172.7654280369755,100,145.33427023887634,5.287442922592163,5.249041795730591
930000,20622.559388160706,302.86324947000935,177.53647404463928,0.0019604173,136.93775177001953,1.9507275294249329,140.7433581352234,0.14118075370788574,0.0015919815,92,168.67255660900344,172.97835121977914,100,131.11302399635315,3.6628401279449463,5.322487115859985
940000,20787.22446990013,302.2047698922578,178.8091001805546,-0.012030043,160.94545793533325,2.1765972137141283,164.63464212417603,0.0297238826751709,-0.01256615,93,166.79682297740283,172.71981560264342,100,155.38270831108093,3.6348507404327393,5.058354377746582
950000,20931.767549991608,302.8109002986144,178.2916661463584,-0.019071786,141.68042492866516,2.0976859578617697,144.5185148715973,0.02932596206665039,-0.020543018,94,166.09492950706186,172.9580096655908,100,135.9741826057434,2.8059308528900146,5.201188802719116
960000,21047.62432718277,302.52663076653766,178.5835995805956,0.015330047,112.59654998779297,2.2081877802150682,115.83178400993347,0.02086806297302246,0.014804953,95,167.808290588549,172.83488480980256,100,107.23783779144287,3.213407039642334,4.908395528793335
970000,21195.053286075592,301.85434529004857,176.36017252979266,-0.016733943,144.1844470500946,1.9648032161671396,147.40781807899475,0.02210092544555664,-0.01838071,96,167.0810249092944,172.61183210180198,100,138.17848587036133,3.200525999069214,5.483724594116211
980000,21346.521775960922,303.43540433903223,177.3019384730557,0.002586277,148.4011697769165,1.9604370487173528,151.42267274856567,0.04623103141784668,0.0017153801,97,168.01998917962047,173.16121916001413,100,142.654958486557,2.973284959793091,5.269355535507202
