n_timesteps,train-AverageReturn,train-AverageDiscountedReturn,train-MaxReturn,Itr,Time-Sampling,train-NumTrajs,train-PolicyExecTime,Time-SampleProc,train-StdReturn,LossAfter,train-EnvExecTime,Time-Optimization,train-MinReturn,Time,ItrTime,LossBefore
1780000,-38.300465302225376,-80.79516174992807,160.92815214229802,177,28.28557324409485,100,24.129106044769287,0.04855203628540039,65.85336387138808,-0.06442743,3.732625722885132,1.8184483051300049,-184.68021365735495,6370.928209066391,30.15516424179077,-3.051758e-08
1790000,-48.85008785155631,-99.213590842741,116.6533956983761,178,30.091129064559937,100,25.861668586730957,0.05855226516723633,62.64088620114856,-0.08035354,3.7978146076202393,2.269659996032715,-209.20325592876807,6403.369166135788,32.42070293426514,1.2207031e-08
1800000,-47.45265791787363,-98.15656853788259,66.55802240041848,179,30.39998197555542,100,26.23674726486206,0.04828906059265137,63.13443501074921,-0.05458122,3.7148635387420654,2.426854133605957,-207.07734829584786,6436.267457962036,32.87714385986328,-8.239746e-08
1810000,-37.73403612509413,-80.67544650299237,114.97636870126824,180,33.0042519569397,100,28.377302169799805,0.0740659236907959,64.97185932117225,-0.10427662,4.047780990600586,1.9706921577453613,-177.35743882334054,6471.340162038803,35.053062915802,-5.3405763e-08
1820000,-53.840647055005704,-110.11474269077317,167.23521606472605,181,41.935734033584595,100,36.915279388427734,0.06460309028625488,72.4202894314184,-0.082886726,4.529326915740967,1.9826061725616455,-214.61311684361002,6515.351763963699,43.98338985443115,-3.967285e-08
1830000,-45.59734235515829,-97.11558480825623,104.2624715857515,182,32.12104105949402,100,27.452210903167725,0.04983925819396973,64.5398958887784,-0.4418511,4.182894468307495,2.3936269283294678,-172.57291688586693,6549.945031166077,34.56595301628113,-6.408691e-08
1840000,-48.51202537889529,-104.21919991784937,141.2216772315203,183,38.67479491233826,100,33.78250765800476,0.058973073959350586,68.95926109059266,-0.25936905,4.372483730316162,1.956963062286377,-214.64536436599175,6590.671033143997,40.69179010391235,1.9836426e-08
1850000,-38.49164304676653,-81.64605086952001,119.7976499176791,184,31.399769067764282,100,26.508915185928345,0.050193071365356445,69.94976848785346,-0.11329032,4.391390562057495,1.830866813659668,-214.7189175217373,6623.978283882141,33.281797885894775,-4.9591065e-08
1860000,-28.064396339074552,-68.5779145292135,131.80236626973996,185,36.5978627204895,100,31.606624126434326,0.05541205406188965,68.4870541253655,-5.315096,4.491987705230713,2.0973961353302,-188.5442520064391,6662.752935171127,38.75230598449707,1.525879e-08
1870000,-20.2333427348666,-46.08099668139017,162.68585914399543,186,48.80885100364685,100,43.659847259521484,0.14339113235473633,65.57042416980654,-0.14701928,4.612457275390625,5.576416015625,-187.290564692294,6717.317636013031,54.53065013885498,5.493164e-08
1880000,-25.09785920604327,-51.81011969114912,155.08998763727124,187,38.054304122924805,100,32.87858247756958,0.10224628448486328,63.146062995215985,-0.19161071,4.6458704471588135,2.1523866653442383,-160.27065363217145,6757.678393125534,40.310569047927856,3.051758e-08
1890000,-28.232674932238112,-57.49492065947152,148.75136912661932,188,38.06039500236511,100,32.83112406730652,0.06083273887634277,64.31048748559242,-0.11477678,4.701698541641235,3.208369255065918,-166.96673672739811,6799.039097070694,41.33021402359009,-3.051758e-08
1900000,-34.69124738216993,-65.5808899384724,117.31050705307076,189,39.000962018966675,100,34.046107053756714,0.05228996276855469,56.47992544228126,-0.11722232,4.450276613235474,2.3813648223876953,-196.42724600793147,6840.492478847504,41.43599200248718,3.051758e-08
1910000,-36.89929294123699,-69.18907113857547,83.0052421393443,190,57.17825102806091,100,51.82010865211487,0.05341005325317383,54.55647926213408,-0.1313021,4.840970516204834,1.8400640487670898,-172.7537175325552,6899.588984012604,59.07317495346069,1.9836426e-08
1920000,-21.963408859440975,-45.18873051023348,122.4308828202474,191,33.26524591445923,100,28.413231134414673,0.060459136962890625,58.54888648880035,-0.086422086,4.367624998092651,1.9866549968719482,-141.0553674674703,6934.923248052597,35.312812089920044,-9.155274e-09
1930000,-31.18489937308453,-56.98067195585895,99.73991940308008,192,30.107483863830566,100,25.44949960708618,0.07738089561462402,56.046569065157335,-0.044556916,4.177843332290649,1.9657540321350098,-182.8736503227528,6967.107260227203,32.151151180267334,-1.6784668e-08
1940000,-37.54527350801916,-69.52329146364262,108.10311522227761,193,37.81170892715454,100,32.94956946372986,0.0528569221496582,51.98022330764681,-0.22007461,4.350892782211304,1.8116722106933594,-148.6642046968411,7006.808610916138,39.677972078323364,-8.8500975e-08
1950000,-26.893022259823564,-51.14000043771716,116.69562817240917,194,30.430406093597412,100,25.83206295967102,0.059556007385253906,53.50047828301738,-0.05136604,4.129540205001831,2.102437973022461,-142.26887887815877,7039.425279855728,32.59280204772949,-3.6621095e-08
1960000,-45.27375069629115,-86.8243744959802,70.06960713098235,195,36.74180293083191,100,31.639771461486816,0.052194833755493164,49.503143700460186,-0.09496782,4.593115329742432,1.8856072425842285,-196.35514503608212,7078.134025096893,38.68020296096802,2.4414062e-08
1970000,-43.54682238744197,-79.77099773624865,61.71738561956993,196,29.78169870376587,100,25.21469235420227,0.05577397346496582,51.76482730260202,-0.36698225,4.0993874073028564,1.9020779132843018,-195.83526273168192,7109.899878025055,31.741265296936035,-2.89917e-08
